2022-06-25 12:41:17|285.727µs|400|POST|/api/user/register|::1|106 B|301 B|{"firstName":"John","lastName":"Doe","email":"j@c.com","password":"johnDoe"}|
2022-06-25 13:04:00|827.92µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 13:06:04|691.238µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 13:06:29|935.673µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 13:08:52|64.736611ms|200|POST|/api/user/login|::1|54 B|62 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 13:10:29|61.585992ms|401|POST|/api/user/login|::1|53 B|94 B|{"email":"j@c.com","password":"JohnDoe"}|
2022-06-25 13:10:35|510.046µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@d.com","password":"JohnDoe1"}|
2022-06-25 13:10:40|444.809µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@d.com","password":"JohnDoe2"}|
2022-06-25 13:10:46|64.138137ms|200|POST|/api/user/login|::1|54 B|62 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 15:51:29|62.622347ms|200|POST|/api/user/login|192.168.30.1|41 B|62 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 15:53:26|143.842781ms|200|POST|/api/user/register|192.168.30.1|85 B|68 B|{"email":"j@p.com","password":"Ab1234567&","firstName":"Jeremy","lastName":"Persing"}|
2022-06-25 15:53:48|60.575541ms|200|POST|/api/user/login|192.168.30.1|43 B|68 B|{"email":"j@p.com","password":"Ab1234567&"}|
2022-06-25 16:10:10|16.127468ms|409|POST|/api/user/register|192.168.30.1|79 B|84 B|{"email":"j@c.com","password":"Ab1234567&","firstName":"John","lastName":"Doe"}|
2022-06-25 16:10:40|76.041191ms|200|POST|/api/user/login|192.168.30.1|41 B|62 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 16:11:22|81.533668ms|200|POST|/api/user/login|192.168.30.1|41 B|62 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 17:26:27|199.039334ms|200|POST|/api/user/login|192.168.30.1|41 B|62 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 17:27:02|173.770966ms|200|POST|/api/user/register|192.168.30.1|75 B|58 B|{"email":"jp@c.com","password":"Ab1234567&","firstName":"J","lastName":"P"}|
2022-06-25 17:27:50|91.973055ms|200|POST|/api/user/login|192.168.30.1|41 B|62 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 17:28:18|117.778899ms|200|POST|/api/user/register|192.168.30.1|75 B|58 B|{"email":"jp@d.com","password":"Ab1234567&","firstName":"J","lastName":"P"}|
2022-06-27 20:09:30|191.122807ms|200|POST|/api/user/register|::1|100 B|57 B|{"firstName":"J","lastName":"P","email":"j@p.com","password":"password123"}|
2022-06-27 20:10:09|94.16406ms|200|POST|/api/user/register|::1|101 B|58 B|{"firstName":"J","lastName":"P","email":"j@p1.com","password":"password123"}|
2022-06-27 20:10:51|586.05µs|200|POST|/api/user/register|::1|101 B|0 B|{"firstName":"J","lastName":"P","email":"j@p1.com","password":"password123"}|
2022-06-27 20:12:09|94.698421ms|200|POST|/api/user/register|::1|49 B|55 B|{"email":"j@c.com","password":"123"}|
2022-06-27 20:29:57|308.164µs|400|POST|/api/user/register|::1|49 B|642 B|{"email":"j@c.com","password":"123"}|
2022-06-27 20:31:05|185.179µs|400|POST|/api/user/register|::1|91 B|293 B|{"firstName":"j","lastName":"p","email":"j","password":"12345678"}|
2022-06-27 20:31:21|585.165µs|409|POST|/api/user/register|::1|97 B|84 B|{"firstName":"j","lastName":"p","email":"j@p.com","password":"12345678"}|
2022-06-27 20:31:40|156.036794ms|200|POST|/api/user/register|::1|98 B|58 B|{"firstName":"j","lastName":"p","email":"j@2p.com","password":"12345678"}|
2022-06-27 20:41:15|45.144µs|404|POST|/api/login|::1|54 B|9 B|{"email":"z@z.com","password":"12345678"}|
2022-06-27 20:41:30|867.217µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"z@z.com","password":"12345678"}|
2022-06-27 20:41:46|64.974842ms|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@p.com","password":"12345678"}|
2022-06-27 20:42:01|67.459842ms|200|POST|/api/user/login|::1|55 B|58 B|{"email":"j@2p.com","password":"12345678"}|
2022-06-27 20:42:13|143.4µs|400|POST|/api/user/login|::1|47 B|292 B|{"email":"","password":"12345678"}|
2022-06-27 20:42:26|247.317µs|400|POST|/api/user/login|::1|47 B|295 B|{"email":"j@2p.com","password":""}|
2022-06-27 20:45:55|88.454999ms|200|POST|/api/user/register|::1|114 B|74 B|{"firstName":"DROP TABLE USERS;","lastName":"p","email":"j@3p.com","password":"12345678"}|
2022-06-27 21:45:26|87.308484ms|200|POST|/api/user/login|192.168.30.1|42 B|58 B|{"email":"j@2p.com","password":"12345678"}|
2022-06-27 21:49:31|87.467233ms|200|POST|/api/user/login|192.168.30.1|42 B|58 B|{"email":"j@2p.com","password":"12345678"}|
2022-06-27 21:55:27|255.415499ms|200|POST|/api/user/register|192.168.30.1|74 B|57 B|{"email":"j@v.com","password":"Ab1234567&","firstName":"J","lastName":"P"}|
2022-06-27 21:55:47|86.21077ms|200|POST|/api/user/login|192.168.30.1|43 B|57 B|{"email":"j@v.com","password":"Ab1234567&"}|
2022-06-27 22:01:51|120.929316ms|200|POST|/api/user/register|192.168.30.1|74 B|57 B|{"email":"j@a.com","password":"Ab1234567&","firstName":"J","lastName":"P"}|
2022-06-27 22:02:23|68.846985ms|200|POST|/api/user/login|192.168.30.1|43 B|57 B|{"email":"j@a.com","password":"Ab1234567&"}|
